id,subject,group
2404,20190205_111640_TOB_EpiBios_MHR_2404_M_I_D28_1_3,Sham
2405,20190205_131106_TOB_EpiBios_MHR_2405_M_I_D28_1_3,Sham
2406,20190205_144551_TOB_EpiBios_MHR_2406_M_I_D28_1_3,Sham
2455,20190212_121150_TOB_EpiBios_MHR_2455_M_I_D02_1_1,TBI
2459,20190212_160048_TOB_EpiBios_MHR_2459_M_I_D02_1_1,TBI
2460,20190214_102102_TOB_EpiBios_MHR_2460_M_I_D02_1_1,Sham
2461,20190214_123506_TOB_EpiBios_MHR_2461_M_I_D02_1_1,TBI
2465,20190214_160808_TOB_EpiBios_MHR_2465_M_I_D02_1_1,TBI
2455,20190219_113152_TOB_EpiBios_MHR_2455_M_I_D09_1_2,TBI
2459,20190219_151052_TOB_EpiBios_MHR_2459_M_I_D09_1_2,TBI
2460,20190221_091533_TOB_EpiBios_MHR_2460_M_I_D09_1_2,Sham
2461,20190221_111250_TOB_EpiBios_MHR_2461_M_I_D09_1_2,TBI
2465,20190221_145331_TOB_EpiBios_MHR_2465_M_I_D09_1_2,TBI
2455,20190312_091952_TOB_EpiBios_MHR_2455_M_I_D28_1_3,TBI
2455,20190312_092010_TOB_EpiBios_MHR_2455_M_I_D28_2_1_4,TBI
2459,20190312_125251_TOB_EpiBios_MHR_2459_M_I_D28_1_3,TBI
2460,20190314_093358_TOB_EpiBios_MHR_2460_M_I_D28_1_3,Sham
2461,20190314_111444_TOB_EpiBios_MHR_2461_M_I_D28_1_3,TBI
2465,20190314_151606_TOB_EpiBios_MHR_2465_M_I_D28_1_3,TBI
2559,20190515_101012_TOB_EpiBios_MHR_2559_M_I_D02_1_1,TBI
2560,20190515_120517_TOB_EpiBios_MHR_2560_M_I_D02_1_1,TBI
2561,20190515_134206_TOB_EpiBios_MHR_2561_M_I_D02_1_1,TBI
2563,20190516_090841_TOB_EpiBios_MHR_2563_M_I_D02_1_1,TBI
2559,20190522_092330_TOB_EpiBios_MHR_2559_M_I_D09_1_2,TBI
2560,20190522_113105_TOB_EpiBios_MHR_2560_M_I_D09_1_2,TBI
2561,20190522_133438_TOB_EpiBios_MHR_2561_M_I_D09_1_2,TBI
2563,20190523_093703_TOB_EpiBios_MHR_2563_M_I_D09_1_2,TBI
2399,20190527_091015_TOB_EpiBios_MHR_2399_M_I_M05_1_4,TBI
2400,20190527_112058_TOB_EpiBios_MHR_2400_M_I_M05_1_4,TBI
2401,20190527_131516_TOB_EpiBios_MHR_2401_M_I_M05_1_4,TBI
2402,20190527_152111_TOB_EpiBios_MHR_2402_M_I_M05_1_4,TBI
2404,20190528_112712_TOB_EpiBios_MHR_2404_M_I_M05_1_4,Sham
2405,20190528_130727_TOB_EpiBios_MHR_2405_M_I_M05_1_4,Sham
2406,20190528_150900_TOB_EpiBios_MHR_2406_M_I_M05_1_4,Sham
2559,20190610_093531_TOB_EpiBios_MHR_2559_M_I_M01_1_3,TBI
2560,20190610_115653_TOB_EpiBios_MHR_2560_M_I_M01_1_3,TBI
2561,20190610_141109_TOB_EpiBios_MHR_2561_M_I_M01_1_3,TBI
2563,20190611_105451_TOB_EpiBios_MHR_2563_M_I_M01_1_3,TBI
2455,20190701_093954_TOB_EpiBios_MHR_2455_M_I_M05_1_5,TBI
2459,20190701_134640_TOB_EpiBios_MHR_2459_M_I_M05_1_4,TBI
2460,20190702_094759_TOB_EpiBios_MHR_2460_M_I_M05_1_4,Sham
2461,20190702_115013_TOB_EpiBios_MHR_2461_M_I_M05_1_4,TBI
2465,20190702_153023_TOB_EpiBios_MHR_2465_M_I_M05_1_4,TBI
